"","date","dayHours","dayName","dayNum","freeDay","holidayName","index","monthNum","weekOfMonth","yearNum"
"76","2021-03-17",24,"Wednesday",17,FALSE,"",75,3,3,2021
"77","2021-03-18",24,"Thursday",18,FALSE,"",76,3,3,2021
"78","2021-03-19",24,"Friday",19,FALSE,"",77,3,3,2021
"79","2021-03-20",24,"Saturday",20,TRUE,"",78,3,3,2021
"80","2021-03-21",24,"Sunday",21,TRUE,"",79,3,3,2021
"81","2021-03-22",24,"Monday",22,FALSE,"",80,3,4,2021
"82","2021-03-23",24,"Tuesday",23,FALSE,"",81,3,4,2021
"83","2021-03-24",24,"Wednesday",24,FALSE,"",82,3,4,2021
"84","2021-03-25",24,"Thursday",25,FALSE,"",83,3,4,2021
"85","2021-03-26",24,"Friday",26,FALSE,"",84,3,4,2021
"86","2021-03-27",24,"Saturday",27,TRUE,"",85,3,4,2021
"87","2021-03-28",23,"Sunday",28,TRUE,"",86,3,4,2021
"88","2021-03-29",24,"Monday",29,FALSE,"",87,3,5,2021
"89","2021-03-30",24,"Tuesday",30,FALSE,"",88,3,5,2021
"90","2021-03-31",24,"Wednesday",31,FALSE,"",89,3,5,2021
"91","2021-04-01",24,"Thursday",1,FALSE,"",90,4,1,2021
"92","2021-04-02",24,"Friday",2,FALSE,"",91,4,1,2021
"93","2021-04-03",24,"Saturday",3,TRUE,"",92,4,1,2021
"94","2021-04-04",24,"Sunday",4,TRUE,"Easter Sunday",93,4,1,2021
"95","2021-04-05",24,"Monday",5,TRUE,"Easter Monday",94,4,2,2021
"96","2021-04-06",24,"Tuesday",6,FALSE,"",95,4,2,2021
"97","2021-04-07",24,"Wednesday",7,FALSE,"",96,4,2,2021
"98","2021-04-08",24,"Thursday",8,FALSE,"",97,4,2,2021
"99","2021-04-09",24,"Friday",9,FALSE,"",98,4,2,2021
"100","2021-04-10",24,"Saturday",10,TRUE,"",99,4,2,2021
"101","2021-04-11",24,"Sunday",11,TRUE,"",100,4,2,2021
"102","2021-04-12",24,"Monday",12,FALSE,"",101,4,3,2021
"103","2021-04-13",24,"Tuesday",13,FALSE,"",102,4,3,2021
"104","2021-04-14",24,"Wednesday",14,FALSE,"",103,4,3,2021
"105","2021-04-15",24,"Thursday",15,FALSE,"",104,4,3,2021
"106","2021-04-16",24,"Friday",16,FALSE,"",105,4,3,2021
"107","2021-04-17",24,"Saturday",17,TRUE,"",106,4,3,2021
"108","2021-04-18",24,"Sunday",18,TRUE,"",107,4,3,2021
"109","2021-04-19",24,"Monday",19,FALSE,"",108,4,4,2021
"110","2021-04-20",24,"Tuesday",20,FALSE,"",109,4,4,2021
"111","2021-04-21",24,"Wednesday",21,FALSE,"",110,4,4,2021
"112","2021-04-22",24,"Thursday",22,FALSE,"",111,4,4,2021
"113","2021-04-23",24,"Friday",23,FALSE,"",112,4,4,2021
"114","2021-04-24",24,"Saturday",24,TRUE,"",113,4,4,2021
"115","2021-04-25",24,"Sunday",25,TRUE,"",114,4,4,2021
"116","2021-04-26",24,"Monday",26,FALSE,"",115,4,5,2021
"117","2021-04-27",24,"Tuesday",27,TRUE,"Day of Uprising Against Occupation",116,4,5,2021
"118","2021-04-28",24,"Wednesday",28,FALSE,"",117,4,5,2021
"119","2021-04-29",24,"Thursday",29,FALSE,"",118,4,5,2021
"120","2021-04-30",24,"Friday",30,FALSE,"",119,4,5,2021
"121","2021-05-01",24,"Saturday",1,TRUE,"Labor Day / May Day",120,5,1,2021
"122","2021-05-02",24,"Sunday",2,TRUE,"Labor Day / May Day",121,5,1,2021
"123","2021-05-03",24,"Monday",3,FALSE,"",122,5,2,2021
"124","2021-05-04",24,"Tuesday",4,FALSE,"",123,5,2,2021
"125","2021-05-05",24,"Wednesday",5,FALSE,"",124,5,2,2021
"126","2021-05-06",24,"Thursday",6,FALSE,"",125,5,2,2021
"127","2021-05-07",24,"Friday",7,FALSE,"",126,5,2,2021
"128","2021-05-08",24,"Saturday",8,TRUE,"",127,5,2,2021
"129","2021-05-09",24,"Sunday",9,TRUE,"",128,5,2,2021
"130","2021-05-10",24,"Monday",10,FALSE,"",129,5,3,2021
"131","2021-05-11",24,"Tuesday",11,FALSE,"",130,5,3,2021
"132","2021-05-12",24,"Wednesday",12,FALSE,"",131,5,3,2021
"133","2021-05-13",24,"Thursday",13,FALSE,"",132,5,3,2021
"134","2021-05-14",24,"Friday",14,FALSE,"",133,5,3,2021
"135","2021-05-15",24,"Saturday",15,TRUE,"",134,5,3,2021
"136","2021-05-16",24,"Sunday",16,TRUE,"",135,5,3,2021
"137","2021-05-17",24,"Monday",17,FALSE,"",136,5,4,2021
