"povpr_poraba_za_vsak_dan_ts" "arima_model$fitted" "holt_model$fitted" "se_model$fitted" "naive_mod$fitted"
"1" 55.1701760416667 55.1150059154839 68.5785017433814 84.7174897337126 NA
"2" 58.0123791666667 55.8983053223858 68.1590079758561 83.3801436726434 55.1701760416667
"3" 56.8037072916667 57.7945114435477 67.8847581400783 82.2319689081358 58.0123791666667
"4" 84.9745729166667 61.5822900391363 67.5674995317226 81.0810559734761 56.8037072916667
"5" 87.1943072916667 83.8392514152918 68.5294250362129 81.2572811153604 84.9745729166667
"6" 90.160553125 75.2277410717677 69.5496187733061 81.5259978810908 87.1943072916667
"7" 87.92435625 77.434138806418 70.6591370428791 81.9168079751954 90.160553125
"8" 90.9100572916667 72.5858889048581 71.6203557589699 82.188716653789 87.92435625
"9" 66.4610197916667 77.0055573681164 72.6742837939371 82.5834547565779 90.9100572916667
"10" 61.8267875 59.7844800770422 72.5840053810759 81.8537344469793 66.4610197916667
"11" 93.5531333333333 70.4197731377619 72.2888946219808 80.9472913471453 61.8267875
"12" 96.608 91.1890345284729 73.431792770551 81.5178465354238 93.5531333333333
"13" 98.0619041666667 85.1634983827967 74.6627436295629 82.2008445739972 96.608
"14" 95.4081958333333 82.23620901862 75.9060319235998 82.9187347277932 98.0619041666667
"15" 96.788465625 78.5993726957764 76.9765242032187 83.4840223809604 95.4081958333333
"16" 73.6200625 80.5856138187529 78.0628885009231 84.0861970812589 96.788465625
"17" 58.855015625 67.1331011455187 78.061194172054 83.6124875588723 73.6200625
"18" 97.0619927083333 69.8790995285766 77.395571879982 82.4919353517284 58.855015625
"19" 99.408815625 99.442699639064 78.4750125905095 83.1513932306574 97.0619927083333
"20" 102.914651041667 89.4523766277982 79.6133777072831 83.887223229581 99.408815625
"21" 104.134377083333 89.6405954474127 80.860233315178 84.7484269214625 102.914651041667
"22" 97.7736583333333 84.9632178911725 82.1081998250914 85.6258577552524 104.134377083333
"23" 68.6021010416667 82.2270781875704 83.0165498516688 86.1756814523597 97.7736583333333
"24" 58.957328125 66.7760171596571 82.5746374695494 85.3802805984591 68.6021010416667
"25" 95.9585229166667 75.8551278388092 81.7176954791536 84.1843467893659 58.957328125
"26" 109.861901041667 102.792556603225 82.559784148011 84.7172598057671 95.9585229166667
"27" 107.052823958333 100.502330246907 83.9902877237132 85.8553357494655 109.861901041667
"28" 105.211741666667 90.9529523397563 85.2329894242317 86.8147589192382 107.052823958333
"29" 108.109227083333 87.2173836120527 86.3394082489315 87.6474279283148 105.211741666667
"30" 72.4869114583333 89.0142569011956 87.5283177497819 88.5735529489362 108.109227083333
"31" 62.4986083333333 68.0667574591503 87.0650613712795 87.8454526939515 72.4869114583333
"32" 110.283614583333 78.2667450977587 86.172233233834 86.6982247997511 62.4986083333333
"33" 108.65611875 111.810509660027 87.4645916936376 87.7657271945406 110.283614583333
"34" 105.140829166667 96.7629307566811 88.6281393700285 88.7112508097181 108.65611875
"35" 102.975117708333 92.9301553762629 89.5835333637211 89.454872789357 105.140829166667
"36" 98.4235 88.9341570526839 90.4003122202273 90.0668149264844 102.975117708333
"37" 67.5246020833333 89.1149563738701 90.9771677312509 90.4450482908823 98.4235
"38" 56.6671760416667 72.7480347012492 90.1402655185333 89.4076420219711 67.5246020833333
"39" 63.5637947916667 81.7413915949707 88.8506830619225 87.925770144457 56.6671760416667
"40" 106.372479166667 91.494977608645 87.9256514838289 86.8231185762811 63.5637947916667
"41" 109.629564583333 117.981010297059 88.9635395426717 87.7079455576595 106.372479166667
"42" 101.71035625 100.30388810407 90.1030058208902 88.7001437372232 109.629564583333
"43" 97.0363604166667 92.1543061397316 90.8374304528615 89.2890012096478 101.71035625
"44" 75.2990489583333 85.558420731791 91.3299545905179 89.6396557709111 97.0363604166667
